codPostalOcurrencia,año,mes,cant_codpostal
01044000,2022.0,4,3
01044000,2022.0,5,2
01044000,2022.0,6,1
01044000,2022.0,7,4
01044000,2022.0,8,5
01044000,2022.0,9,7
01044000,2022.0,11,3
01044000,2022.0,12,4
01044000,2023.0,1,2
01044000,2023.0,2,4
01044000,2023.0,3,4
01045000,2022.0,1,6
01045000,2022.0,2,3
01045000,2022.0,3,4
01045000,2022.0,4,6
01045000,2022.0,5,4
01045000,2022.0,6,2
01045000,2022.0,7,4
01045000,2022.0,8,4
01045000,2022.0,9,2
01045000,2022.0,11,5
01045000,2022.0,12,6
01045000,2023.0,1,4
01045000,2023.0,2,3
01045000,2023.0,3,4
01046000,2022.0,1,5
01046000,2022.0,2,3
01046000,2022.0,3,4
01046000,2022.0,4,3
01046000,2022.0,5,9
01046000,2022.0,6,2
01046000,2022.0,7,3
01046000,2022.0,8,8
01046000,2022.0,9,4
01046000,2022.0,10,10
01046000,2022.0,11,2
01046000,2022.0,12,2
01046000,2023.0,1,1
01046000,2023.0,2,2
01046000,2023.0,3,3
01047000,2022.0,1,4
01047000,2022.0,2,3
01047000,2022.0,3,7
01047000,2022.0,4,5
01047000,2022.0,5,7
01047000,2022.0,6,9
01047000,2022.0,7,13
01047000,2022.0,8,9
01047000,2022.0,9,8
01047000,2022.0,10,4
01047000,2022.0,11,6
01047000,2022.0,12,5
01047000,2023.0,1,9
01047000,2023.0,2,10
01047000,2023.0,3,6
01047000,2023.0,4,5
01048000,2022.0,1,6
01048000,2022.0,2,3
01048000,2022.0,3,1
01048000,2022.0,4,3
01048000,2022.0,5,5
01048000,2022.0,6,6
01048000,2022.0,7,3
01048000,2022.0,8,7
01048000,2022.0,9,6
01048000,2022.0,10,3
01048000,2022.0,11,7
01048000,2022.0,12,8
01048000,2023.0,1,13
01048000,2023.0,2,7
01048000,2023.0,3,8
01048000,2023.0,4,2
01049000,2022.0,1,7
01049000,2022.0,2,2
01049000,2022.0,3,2
01049000,2022.0,4,2
01049000,2022.0,5,3
01049000,2022.0,6,6
01049000,2022.0,7,4
01049000,2022.0,8,6
01049000,2022.0,9,3
01049000,2022.0,10,3
01049000,2022.0,11,5
01049000,2022.0,12,2
01049000,2023.0,1,4
01049000,2023.0,2,3
01049000,2023.0,3,5
01049000,2023.0,4,2
01050000,2022.0,1,63
01050000,2022.0,3,3
01050000,2022.0,4,3
01050000,2022.0,5,3
01050000,2022.0,6,2
01050000,2022.0,7,9
01050000,2022.0,8,2
01050000,2022.0,9,1
01050000,2022.0,10,1
01050000,2022.0,11,3
01050000,2022.0,12,1
01050000,2023.0,1,2
01050000,2023.0,2,1
01050000,2023.0,4,2
01051000,2022.0,6,1
01051000,2022.0,7,3
01051000,2022.0,8,3
01051000,2022.0,9,3
01051000,2022.0,10,3
01051000,2022.0,11,9
01051000,2022.0,12,2
01051000,2023.0,1,7
01051000,2023.0,2,3
01051000,2023.0,3,2
01051000,2023.0,4,4
01052000,2022.0,1,1
01052000,2022.0,2,6
01052000,2022.0,3,2
01052000,2022.0,4,5
01052000,2022.0,5,2
01052000,2022.0,6,3
01052000,2022.0,7,2
01052000,2022.0,8,7
01052000,2022.0,9,2
01052000,2022.0,10,4
01052000,2022.0,11,2
01052000,2022.0,12,2
01052000,2023.0,2,1
01052000,2023.0,3,3
01052000,2023.0,4,1
01053000,2022.0,1,7
01053000,2022.0,3,3
01053000,2022.0,4,5
01053000,2022.0,5,6
01053000,2022.0,6,3
01053000,2022.0,7,2
01053000,2022.0,9,2
01053000,2022.0,10,5
01053000,2022.0,11,8
01053000,2022.0,12,2
01053000,2023.0,1,4
01053000,2023.0,2,1
01053000,2023.0,3,6
01053000,2023.0,4,2
01054000,2022.0,1,8
01054000,2022.0,2,6
01054000,2022.0,3,15
01054000,2022.0,4,17
01054000,2022.0,5,11
01054000,2022.0,6,8
01054000,2022.0,7,17
01054000,2022.0,8,6
01054000,2022.0,9,20
01054000,2022.0,10,11
01054000,2022.0,11,13
01054000,2022.0,12,7
01054000,2023.0,1,5
01054000,2023.0,2,6
01054000,2023.0,3,8
01054000,2023.0,4,5
01055000,2022.0,1,60
01055000,2022.0,2,13
01055000,2022.0,3,7
01055000,2022.0,4,10
01055000,2022.0,5,13
01055000,2022.0,6,9
01055000,2022.0,7,7
01055000,2022.0,8,14
01055000,2022.0,9,9
01055000,2022.0,10,7
01055000,2022.0,11,8
01055000,2022.0,12,26
01055000,2023.0,1,12
01055000,2023.0,2,2
01055000,2023.0,3,4
01056000,2022.0,1,1
01056000,2022.0,4,2
01056000,2022.0,5,1
01056000,2022.0,7,1
01056000,2022.0,8,2
01056000,2022.0,9,1
01056000,2022.0,10,1
01056000,2022.0,12,1
01056000,2023.0,1,1
01056000,2023.0,2,2
01057000,2022.0,1,4
01057000,2022.0,2,2
01057000,2022.0,4,2
01057000,2022.0,5,4
01057000,2022.0,6,5
01057000,2022.0,7,2
01057000,2022.0,8,5
01057000,2022.0,9,5
01057000,2022.0,10,9
01057000,2022.0,11,4
01057000,2022.0,12,5
01057000,2023.0,1,3
01057000,2023.0,2,5
01057000,2023.0,3,5
01057000,2023.0,4,2
01058000,2022.0,1,2
01058000,2022.0,3,2
01058000,2022.0,4,4
01058000,2022.0,5,2
01058000,2022.0,6,3
01058000,2022.0,7,2
01058000,2022.0,8,3
01058000,2022.0,9,1
01058000,2022.0,10,1
01058000,2022.0,11,1
01058000,2022.0,12,1
01058000,2023.0,1,3
01058000,2023.0,2,5
01058000,2023.0,3,2
01059000,2022.0,1,9
01059000,2022.0,2,10
01059000,2022.0,3,6
01059000,2022.0,4,8
01059000,2022.0,5,6
01059000,2022.0,6,6
01059000,2022.0,7,3
01059000,2022.0,8,6
01059000,2022.0,9,2
01059000,2022.0,10,6
01059000,2022.0,11,12
01059000,2022.0,12,9
01059000,2023.0,1,8
01059000,2023.0,2,5
01059000,2023.0,3,3
01059000,2023.0,4,3
01060000,2022.0,2,8
01060000,2022.0,3,3
01060000,2022.0,4,2
01060000,2022.0,5,2
01060000,2022.0,6,6
01060000,2022.0,7,4
01060000,2022.0,8,2
01060000,2022.0,9,3
01060000,2022.0,10,5
01060000,2022.0,11,1
01060000,2022.0,12,2
01060000,2023.0,1,2
01060000,2023.0,2,6
01060000,2023.0,3,7
01060000,2023.0,4,2
01061000,2022.0,1,2
01061000,2022.0,2,3
01061000,2022.0,3,5
01061000,2022.0,4,2
01061000,2022.0,5,5
01061000,2022.0,6,2
01061000,2022.0,7,5
01061000,2022.0,8,3
01061000,2022.0,9,1
01061000,2022.0,10,4
01061000,2022.0,11,3
01061000,2022.0,12,3
01061000,2023.0,1,4
01061000,2023.0,2,2
01061000,2023.0,3,4
01061000,2023.0,4,2
01062000,2022.0,1,7
01062000,2022.0,2,5
01062000,2022.0,3,3
01062000,2022.0,4,5
01062000,2022.0,5,2
01062000,2022.0,6,5
01062000,2022.0,7,10
01062000,2022.0,8,25
01062000,2022.0,9,9
01062000,2022.0,10,8
01062000,2022.0,11,2
01062000,2022.0,12,9
01062000,2023.0,1,4
01062000,2023.0,2,3
01062000,2023.0,3,4
01062000,2023.0,4,1
01063000,2022.0,1,33
01063000,2022.0,2,14
01063000,2022.0,3,12
01063000,2022.0,4,16
01063000,2022.0,5,13
01063000,2022.0,6,14
01063000,2022.0,7,22
01063000,2022.0,8,19
01063000,2022.0,9,17
01063000,2022.0,10,19
01063000,2022.0,11,18
01063000,2022.0,12,29
01063000,2023.0,1,15
01063000,2023.0,2,17
01063000,2023.0,3,22
01063000,2023.0,4,6
01064000,2022.0,1,27
01064000,2022.0,2,3
01064000,2022.0,3,4
01064000,2022.0,4,7
01064000,2022.0,5,5
01064000,2022.0,6,7
01064000,2022.0,7,6
01064000,2022.0,8,4
01064000,2022.0,9,6
01064000,2022.0,10,9
01064000,2022.0,11,5
01064000,2022.0,12,6
01064000,2023.0,1,10
01064000,2023.0,2,7
01064000,2023.0,3,7
01064000,2023.0,4,3
01065000,2022.0,3,1
01065000,2022.0,4,1
01065000,2022.0,5,3
01065000,2022.0,6,4
01065000,2022.0,7,3
